epoch,disc_day_loss,disc_night_loss,gen_D2N_loss,gen_N2D_loss
0,1.269161582,0.886140168,"""[33.573235, 33.573418]""","""[36.345165, 36.413864]"""
1,6.107195854,0.022011112,"""[28.451088, 28.449703]""","""[27.480188, 27.498234]"""
2,3.084952116,0.338131905,"""[22.73907, 22.739706]""","""[25.334175, 25.29575]"""
3,1.364919782,0.017262334,"""[31.639124, 31.636349]""","""[26.85485, 26.894524]"""
4,0.293647498,0.004313805,"""[23.185362, 23.18534]""","""[25.68052, 25.693138]"""
5,0.103411943,0.002194621,"""[28.015043, 28.02332]""","""[30.117586, 30.115229]"""
6,3.277787685,0.008723659,"""[20.08278, 20.08218]""","""[24.11473, 24.186386]"""
7,0.138231099,0.040267706,"""[24.99292, 24.994743]""","""[22.031723, 22.011965]"""
8,0.692686379,0.031904764,"""[24.550783, 24.550837]""","""[30.306921, 30.289478]"""
9,0.025280003,0.001494498,"""[24.699009, 24.698364]""","""[22.407772, 22.461246]"""
10,1.756397605,0.01323424,"""[22.27034, 22.274748]""","""[19.751133, 19.718248]"""
11,0.984367788,0.008229305,"""[26.292356, 26.292484]""","""[24.561914, 24.560482]"""
12,0.125596523,0.015445123,"""[22.675924, 22.67833]""","""[21.697342, 21.687798]"""
13,0.184862435,0.026529273,"""[26.433363, 26.428244]""","""[25.8099, 25.814777]"""
14,0.837977648,0.004960624,"""[23.73728, 23.739265]""","""[22.957384, 22.943733]"""
15,2.307411671,0.00820761,"""[19.548948, 19.565857]""","""[20.79736, 20.815523]"""
16,0.091484435,0.043289252,"""[24.62846, 24.636177]""","""[21.687645, 21.671555]"""
17,1.290065765,0.115617044,"""[19.651352, 19.651455]""","""[22.038763, 22.057684]"""
18,0.19251883,-0.000446112,"""[27.624674, 27.637276]""","""[29.510845, 29.501806]"""
19,2.366430998,0.089557976,"""[22.782751, 22.774113]""","""[20.347675, 20.336342]"""
20,1.797707081,0.006060129,"""[18.591051, 18.594145]""","""[20.576006, 20.56704]"""
21,3.293676853,0.287034661,"""[21.38183, 21.375078]""","""[19.115528, 19.092287]"""
22,0.290763676,0.007574713,"""[20.06202, 20.068542]""","""[23.484472, 23.463106]"""
23,1.959009647,0.08795774,"""[18.64271, 18.655592]""","""[17.186731, 17.159042]"""
24,1.00845027,-0.000604416,"""[21.822048, 21.827576]""","""[20.235851, 20.282576]"""
25,1.484205484,0.044817161,"""[19.326307, 19.33272]""","""[18.294134, 18.312052]"""
26,0.348540902,0.044824183,"""[16.619486, 16.612951]""","""[16.519932, 16.47893]"""
27,0.093891576,0.018686255,"""[20.371695, 20.370766]""","""[21.906063, 21.886267]"""
28,1.832450986,0.02451781,"""[18.466393, 18.464586]""","""[21.009985, 21.014444]"""
29,0.081936963,0.011122413,"""[23.581232, 23.57468]""","""[19.612137, 19.618204]"""
30,0.984269142,0.006527392,"""[22.714933, 22.72477]""","""[19.532005, 19.488737]"""
31,0.898907602,0.020640289,"""[18.443447, 18.441269]""","""[22.652887, 22.620102]"""
32,0.822451949,-0.000968108,"""[18.861725, 18.871119]""","""[18.848125, 18.85165]"""
33,0.518360913,0.006919278,"""[19.74162, 19.735212]""","""[17.307756, 17.314434]"""
34,0.713901281,0.004806537,"""[19.576656, 19.576012]""","""[18.404932, 18.361477]"""
35,0.144026503,0.010494452,"""[19.079842, 19.074245]""","""[16.559505, 16.572393]"""
36,0.061080098,0.038841736,"""[20.072845, 20.056797]""","""[18.45576, 18.415125]"""
37,0.204663754,0.049392,"""[19.885107, 19.887016]""","""[16.710903, 16.709196]"""
38,0.593145907,0.041887537,"""[20.16849, 20.165945]""","""[18.611439, 18.614458]"""
39,0.213904098,0.001844998,"""[17.932247, 17.92572]""","""[18.814474, 18.782646]"""
40,0.74368602,-0.004199579,"""[17.944221, 17.94238]""","""[19.020847, 19.017263]"""
41,0.42508471,-0.00153614,"""[18.894203, 18.901937]""","""[17.897465, 17.856562]"""
42,5.886725426,0.022226114,"""[20.72325, 20.726618]""","""[18.107735, 18.065926]"""
43,0.076725081,0.041120183,"""[19.746044, 19.737984]""","""[15.714219, 15.687925]"""
44,0.125014856,0.027747627,"""[20.944885, 20.933138]""","""[17.14109, 17.162199]"""
45,0.816334009,0.03576709,"""[20.686731, 20.682306]""","""[20.484528, 20.529873]"""
46,0.599962831,0.119784623,"""[22.751907, 22.754236]""","""[21.759024, 21.78234]"""
47,0.352558613,-0.021617807,"""[18.945131, 18.937387]""","""[22.493357, 22.48273]"""
48,0.071675144,-0.010322343,"""[17.72062, 17.71566]""","""[17.916265, 17.895775]"""
49,0.650227547,0.080573246,"""[17.031582, 17.035156]""","""[15.562916, 15.557045]"""
50,0.230520099,-0.015679615,"""[18.487812, 18.499464]""","""[18.560713, 18.567518]"""
51,0.276376158,-0.00027113,"""[19.07056, 19.078798]""","""[18.739838, 18.747154]"""
52,0.896677554,-0.010615154,"""[19.37037, 19.36819]""","""[15.947235, 15.947434]"""
53,0.36428982,0.009501152,"""[17.604921, 17.621723]""","""[16.981258, 16.943754]"""
54,0.615144968,-0.022056775,"""[19.026937, 19.021606]""","""[16.248772, 16.271688]"""
55,0.655891418,0.015543502,"""[20.815443, 20.803822]""","""[15.886171, 15.859766]"""
56,0.019697053,0.062917367,"""[18.399012, 18.389053]""","""[18.119127, 18.113306]"""
57,0.307697058,-0.028598126,"""[22.613285, 22.621101]""","""[22.386698, 22.39383]"""
58,0.681317806,0.028883684,"""[19.381046, 19.377275]""","""[19.146614, 19.138948]"""
59,0.899663091,-0.015156079,"""[27.167738, 27.156212]""","""[20.285109, 20.325674]"""
60,0.144796818,0.008562163,"""[19.036478, 19.03969]""","""[21.816626, 21.829319]"""
61,0.031188324,0.021678779,"""[21.443186, 21.442081]""","""[21.53124, 21.57698]"""
62,2.868957758,-0.008866623,"""[17.871416, 17.860645]""","""[17.752623, 17.74215]"""
63,0.116029955,0.006480841,"""[19.064129, 19.072554]""","""[16.76194, 16.77626]"""
64,4.091269493,0.030762367,"""[20.037458, 20.03944]""","""[17.105385, 17.072721]"""
